Equipo,Puntos,Peso,Valor_Mercado_Millones_Eur,Tipo_Equipo,Fecha,Resultado_1X2,avg_Goles_esperados_(xG)_total,avg_Posesión_total,avg_Remates_a_puerta_total,avg_Córneres_total,avg_Tarjetas_amarillas_total,avg_Faltas_total,avg_Paradas_total,avg_Pases_Pct_total,avg_Pases_Exitosos_total,avg_Goles_total,avg_Ptos_total,avg_xG_Share_total,avg_Remates_Puerta_Share_total,avg_Corneres_Share_total,avg_Paradas_Share_total,avg_Pases_Exitosos_Share_total,avg_Goles_Share_total,avg_Puntos_Share_total,avg_Valor_Mercado_Millones_Eur_Share_total,avg_Puntos_total,avg_Goles_esperados_(xG)_3,avg_Posesión_3,avg_Remates_a_puerta_3,avg_Córneres_3,avg_Tarjetas_amarillas_3,avg_Faltas_3,avg_Paradas_3,avg_Pases_Pct_3,avg_Pases_Exitosos_3,avg_Goles_3,avg_Ptos_3,avg_xG_Share_3,avg_Remates_Puerta_Share_3,avg_Corneres_Share_3,avg_Paradas_Share_3,avg_Pases_Exitosos_Share_3,avg_Goles_Share_3,avg_Puntos_Share_3,avg_Valor_Mercado_Millones_Eur_Share_3,avg_Puntos_3
Sudáfrica,1429.73,0.6,1.89,Visitante,2026-06-11,2,1.3057142857142858,0.5986206896551723,4.793103448275862,5.103448275862069,1.8928571428571428,10.666666666666666,1.5185185185185186,0.8671428571428572,454.7142857142857,1.5517241379310345,1.8275862068965518,0.5175426775111721,0.6821739563118874,0.667594665870528,0.35581554460864806,0.5837849460922746,0.6275862068965516,0.5348594331486,0.6727762693451997,1404.493448275862,1.4533333333333338,0.68,4.333333333333333,4.0,1.3333333333333333,10.333333333333334,1.0,0.89,498.6666666666667,0.6666666666666666,0.6666666666666666,0.7027706552706553,0.6666666666666666,0.7301587301587302,0.2888888888888889,0.7092079325073165,0.4444444444444445,0.5086361766223854,0.6968329608231771,1431.75
México,1681.03,0.75,7.38,Local,2026-06-11,2,1.4711764705882353,0.5855555555555555,5.416666666666667,5.694444444444445,2.212121212121212,14.166666666666666,1.8888888888888888,0.8477777777777777,423.19444444444446,1.3055555555555556,2.0833333333333335,0.6079231015986019,0.6737566219183866,0.6365451677951678,0.3172750474833808,0.6095147921865033,0.6879629629629629,0.5362934881443351,0.7022209223847029,1646.7727777777777,0.98,0.47000000000000003,4.0,4.0,1.3333333333333333,14.666666666666666,2.0,0.8466666666666667,392.6666666666667,1.0,1.6666666666666667,0.6335663575775138,0.5535353535353535,0.45,0.4444444444444444,0.45936610630345703,0.6666666666666666,0.5116337012745595,0.290009604954134,1677.51
República Checa,1501.38,1.0,7.24,Visitante,2026-06-12,2,1.77,0.5040476190476191,4.976190476190476,5.714285714285714,1.9,13.404761904761905,2.2142857142857144,0.7880952380952382,355.8809523809524,1.5238095238095237,1.5238095238095237,0.5658546961131241,0.5756179997251426,0.6076608246251103,0.4143729286586429,0.5078174503226502,0.5547619047619048,0.5164990640733516,0.5679653837906992,1485.6966666666667,2.323333333333333,0.5133333333333333,5.666666666666667,8.333333333333334,0.6666666666666666,18.0,2.3333333333333335,0.7433333333333333,372.6666666666667,3.0,1.6666666666666667,0.6692932390606808,0.6111111111111112,0.6531468531468532,0.4603174603174603,0.5159517227897455,0.6666666666666666,0.5436967936525552,0.6247599956858073,1486.2266666666667
Corea del Sur,1588.66,0.7,5.35,Local,2026-06-12,2,1.7833333333333334,0.6673170731707317,5.780487804878049,7.463414634146342,1.2894736842105263,11.512195121951219,1.4146341463414633,0.8097368421052632,512.4736842105264,1.951219512195122,1.975609756097561,0.570627362417619,0.7175588639003273,0.7181171251831223,0.26525710062295427,0.6591957053146827,0.6695121951219511,0.5395220675301453,0.8075463044719755,1536.6307317073172,1.4566666666666668,0.5666666666666667,4.0,9.0,0.5,9.666666666666666,1.3333333333333333,0.86,466.6666666666667,1.3333333333333333,1.0,0.5939526987472193,0.6222222222222222,0.6861111111111112,0.2222222222222222,0.5629477460934904,0.3333333333333333,0.5335447755950936,0.5130360252872118,1591.2766666666666
Canadá,1556.48,0.75,7.64,Local,2026-06-12,2,1.5100000000000002,0.5131428571428571,4.371428571428571,6.0,2.0588235294117645,14.558823529411764,2.4,0.8070588235294118,334.8529411764706,1.4857142857142858,1.6857142857142857,0.5424219426890808,0.5643054564483135,0.5889017285235773,0.43487528344671206,0.5176110932403343,0.6047619047619048,0.5023893792121125,0.6921027821336625,1454.6882857142857,1.4433333333333336,0.5733333333333334,6.0,9.666666666666666,2.0,14.0,1.6666666666666667,0.8166666666666665,362.0,1.0,1.6666666666666667,0.8027042982179404,0.6916666666666665,0.8315904139433551,0.24206349206349206,0.5894946447574024,0.6666666666666666,0.5353226036274309,0.790118220879538,1559.15
Bosnia-Herzegovina,1385.84,1.0,5.63,Visitante,2026-06-12,2,1.265925925925926,0.48738095238095236,4.166666666666667,4.809523809523809,2.425,13.047619047619047,1.8780487804878048,0.8064285714285714,361.7142857142857,1.1904761904761905,1.1666666666666667,0.4742204474239629,0.5240536249464821,0.5370720549291977,0.4496083281797567,0.49594207971880266,0.4631519274376417,0.49814970414381754,0.585286038201839,1372.7780952380951,1.5050000000000001,0.5633333333333334,6.666666666666667,5.0,2.3333333333333335,16.333333333333332,2.0,0.84,517.3333333333334,0.6666666666666666,1.0,0.5467834526839085,0.6924603174603176,0.5436507936507936,0.3333333333333333,0.5800656016146158,0.5,0.4727155079351147,0.5162789473167505,1370.1933333333334
Paraguay,1503.5,0.95,5.91,Visitante,2026-06-13,2,0.8677777777777779,0.41875,3.1666666666666665,3.9583333333333335,2.652173913043478,14.416666666666666,2.5652173913043477,0.6725,227.25,0.625,0.9583333333333334,0.49899213218037414,0.4295276482776483,0.4626734240704829,0.5064935064935064,0.3970802440946191,0.37986111111111115,0.4809006990972023,0.42570842013525584,1467.41375,0.665,0.4333333333333334,5.0,4.333333333333333,2.3333333333333335,11.333333333333334,2.5,0.8099999999999999,321.3333333333333,1.0,2.0,0.4407254884780514,0.587121212121212,0.5405982905982906,0.4166666666666667,0.4025432195896543,0.7777777777777777,0.48889752682491866,0.475523917445207,1496.5633333333335
Suiza,1649.4,1.0,12.79,Visitante,2026-06-13,2,1.5844827586206898,0.5659574468085107,4.574468085106383,5.51063829787234,2.0,11.340425531914894,2.3191489361702127,0.8634042553191489,480.29787234042556,1.6808510638297873,1.6170212765957446,0.5857420069773832,0.5878181511160234,0.5723626989460926,0.44927389395474504,0.5973772881554331,0.583080040526849,0.5267163642530774,0.5966615195881586,1632.8321276595746,0.7500000000000003,0.5166666666666667,2.3333333333333335,1.0,0.0,7.666666666666667,3.0,0.86,450.6666666666667,1.3333333333333333,0.6666666666666666,0.46016432385311107,0.3928571428571428,0.19444444444444445,0.7000000000000001,0.518678530095955,0.4761904761904762,0.5227589201667822,0.4404044070101574,1654.2333333333336
Catar,1454.96,0.7,0.766,Local,2026-06-13,2,1.528888888888889,0.5641935483870967,4.612903225806452,4.935483870967742,1.9333333333333333,11.03225806451613,2.3548387096774195,0.7616129032258064,357.0,1.7419354838709677,1.8709677419354838,0.56621097519849,0.5351746977458552,0.5433750836976644,0.5214797747055813,0.571259246537816,0.5818996415770609,0.5268219909229697,0.5390388626084603,1448.6764516129033,0.7533333333333334,0.5299999999999999,2.0,3.0,2.0,10.666666666666666,2.0,0.8333333333333334,365.6666666666667,0.6666666666666666,1.3333333333333333,0.4791471537896983,0.44841269841269843,0.44920634920634933,0.5833333333333334,0.5285637182432906,0.38888888888888884,0.5134063515487598,0.4105609437374624,1454.0866666666668
EE. UU.,1673.13,0.75,14.83,Local,2026-06-13,2,1.4123076923076923,0.5590909090909091,4.606060606060606,4.848484848484849,1.5357142857142858,12.303030303030303,2.3636363636363638,0.8345454545454545,395.1515151515151,1.4545454545454546,1.5757575757575757,0.5415543057830388,0.5650415637046654,0.5783667510940238,0.4624874283965193,0.5735541090518249,0.5556277056277056,0.5262925361665924,0.7957377562452517,1624.5015151515152,0.8833333333333332,0.43,3.6666666666666665,2.6666666666666665,1.3333333333333333,11.666666666666666,4.666666666666667,0.8266666666666667,332.0,1.0,0.0,0.39383647632424834,0.327020202020202,0.2333333333333333,0.625,0.4235144960775095,0.20634920634920637,0.4939089720071174,0.45270684254038457,1670.8566666666666
