Fecha,Equipo_Local,Equipo_Visitante,Resultado,Goles_esperados_(xG)_Local,Goles_esperados_(xG)_Visitante,Posesión_Local,Posesión_Visitante,Remates_a_puerta_Local,Remates_a_puerta_Visitante,Córneres_Local,Córneres_Visitante,Tarjetas_amarillas_Local,Tarjetas_amarillas_Visitante,Faltas_Local,Faltas_Visitante,Paradas_Local,Paradas_Visitante,Puntos_Local,Puntos_Visitante,Peso_Local,Peso_Visitante,Valor_Mercado_Millones_Eur_Local,Valor_Mercado_Millones_Eur_Visitante,Resultado_Prorroga,Resultado_Penaltis,Pases_Local_Pct,Pases_Local_Exitosos,Pases_Visitante_Pct,Pases_Visitante_Exitosos
2026-06-11,México,Sudáfrica,nan,,,,,,,,,,,,,,,1681.03,1429.73,0.75,0.6,7.38,1.89,,,,,,
2026-06-12,Corea del Sur,República Checa,nan,,,,,,,,,,,,,,,1588.66,1501.38,0.7,1.0,5.35,7.24,,,,,,
2026-06-12,Canadá,Bosnia-Herzegovina,nan,,,,,,,,,,,,,,,1556.48,1385.84,0.75,1.0,7.64,5.63,,,,,,
2026-06-13,EE. UU.,Paraguay,nan,,,,,,,,,,,,,,,1673.13,1503.5,0.75,0.95,14.83,5.91,,,,,,
2026-06-13,Catar,Suiza,nan,,,,,,,,,,,,,,,1454.96,1649.4,0.7,1.0,0.766,12.79,,,,,,
2026-06-14,Países Bajos,Japón,nan,,,,,,,,,,,,,,,1757.87,1660.43,1.0,0.7,29.01,10.42,,,,,,
2026-06-14,Australia,Turquía,nan,,,,,,,,,,,,,,,1580.67,1599.04,0.7,1.0,2.98,18.22,,,,,,
2026-06-14,Alemania,Curazao,nan,,,,,,,,,,,,,,,1730.37,1294.65,1.0,0.75,36.42,0.991,,,,,,
2026-06-14,Brasil,Marruecos,nan,,,,,,,,,,,,,,,1761.16,1755.87,0.95,0.6,35.7,17.22,,,,,,
2026-06-14,Haití,Escocia,nan,,,,,,,,,,,,,,,1291.71,1498.35,0.75,1.0,2.15,6.55,,,,,,
2026-06-15,Costa de Marfil,Ecuador,nan,,,,,,,,,,,,,,,1532.98,1594.78,0.6,0.95,20.08,14.18,,,,,,
2026-06-15,Suecia,Túnez,nan,,,,,,,,,,,,,,,1514.77,1483.05,1.0,0.6,15.62,2.69,,,,,,
2026-06-15,España,Cabo Verde,nan,,,,,,,,,,,,,,,1876.4,1366.13,1.0,0.6,47.03,2.1,,,,,,
2026-06-15,Bélgica,Egipto,nan,,,,,,,,,,,,,,,1734.71,1563.24,1.0,0.6,21.06,4.48,,,,,,
2026-06-16,Arabia Saudí,Uruguay,nan,,,,,,,,,,,,,,,1421.43,1673.07,0.7,0.95,1.56,13.82,,,,,,
2026-06-16,Irán,Nueva Zelanda,nan,,,,,,,,,,,,,,,1615.3,1281.57,0.7,0.7,1.23,1.32,,,,,,
2026-06-16,Francia,Senegal,nan,,,,,,,,,,,,,,,1877.32,1688.99,1.0,0.6,58.58,18.39,,,,,,
2026-06-17,Austria,Jordania,nan,,,,,,,,,,,,,,,1593.45,1391.45,1.0,0.7,9.43,0.781,,,,,,
2026-06-17,Inglaterra,Croacia,nan,,,,,,,,,,,,,,,1825.97,1717.07,1.0,1.0,52.24,14.9,,,,,,
2026-06-17,Portugal,RD Congo,nan,,,,,,,,,,,,,,,1763.83,1478.35,1.0,0.6,38.67,5.53,,,,,,
2026-06-17,Argentina,Argelia,nan,,,,,,,,,,,,,,,1874.81,1564.26,0.95,0.6,31.06,9.88,,,,,,
