País,Puntuación,Fecha
ARY de Macedonia,1343.0,2018-12-20
Afganistán,972.75,2026-04-01
Albania,1388.06,2026-04-01
Alemania,1730.37,2026-04-01
Andorra,945.34,2026-04-01
Angola,1263.1,2026-04-01
Anguila,760.25,2026-04-01
Antigua y Barbuda,986.58,2026-04-01
Arabia Saudí,1421.43,2026-04-01
Argelia,1564.26,2026-04-01
Argentina,1874.81,2026-04-01
Armenia,1191.42,2026-04-01
Aruba,877.3,2026-04-01
Australia,1580.67,2026-04-01
Austria,1593.45,2026-04-01
Azerbaiyán,1136.67,2026-04-01
Bahamas,786.82,2026-04-01
Bahréin,1302.86,2024-06-20
Bangladesh,899.53,2026-04-01
Barbados,909.89,2026-04-01
Baréin,1258.53,2026-04-01
Belice,907.0,2026-04-01
Benín,1258.98,2026-04-01
Bermudas,976.87,2026-04-01
Bielorrusia,1235.82,2026-04-01
Bolivia,1329.42,2026-04-01
Bosnia y Herzegovina,1385.84,2026-04-01
Botsuana,1063.63,2026-04-01
Brasil,1761.16,2026-04-01
Brunéi Darussalam,863.09,2026-04-01
Bulgaria,1278.9,2026-04-01
Burkina Faso,1412.49,2026-04-01
Burundi,1078.01,2026-04-01
Bután,880.55,2026-04-01
Bélgica,1734.71,2026-04-01
Cabo Verde,1366.13,2026-04-01
Camboya,911.54,2026-04-01
Camerún,1481.24,2026-04-01
Canadá,1556.48,2026-04-01
Chad,896.85,2026-04-01
Chile,1455.28,2026-04-01
Chinese Taipei,923.78,2026-04-01
Chipre,1128.33,2026-04-01
Colombia,1693.09,2026-04-01
Comoras,1187.91,2026-04-01
Congo,1105.96,2026-04-01
Costa Rica,1459.9,2026-04-01
Costa de Marfil,1532.98,2026-04-01
Croacia,1717.07,2026-04-01
Cuba,981.42,2026-04-01
Curazao,1294.65,2026-04-01
Curaçao,1293.35,2022-06-23
Côte d'Ivoire,1435.91,2022-06-23
Dinamarca,1620.81,2026-04-01
Dominica,897.69,2026-04-01
Ecuador,1594.78,2026-04-01
Egipto,1563.24,2026-04-01
El Salvador,1225.26,2026-04-01
Emiratos Árabes Unidos,1370.47,2026-04-01
Eritrea,887.06,2026-04-01
Escocia,1498.35,2026-04-01
Eslovaquia,1473.94,2026-04-01
Eslovenia,1446.44,2026-04-01
España,1876.4,2026-04-01
Estados Unidos,1673.13,2026-04-01
Estonia,1121.1,2026-04-01
Esuatini,979.01,2026-04-01
Etiopía,1071.55,2026-04-01
Filipinas,1094.1,2026-04-01
Finlandia,1346.41,2026-04-01
Fiyi,1029.7,2026-04-01
Francia,1877.32,2026-04-01
Gabón,1272.51,2026-04-01
Gales,1524.29,2026-04-01
Gambia,1160.38,2026-04-01
Georgia,1350.18,2026-04-01
Ghana,1346.31,2026-04-01
Gibraltar,810.14,2026-04-01
Granada,982.57,2026-04-01
Grecia,1475.82,2026-04-01
Guam,825.43,2026-04-01
Guatemala,1243.47,2026-04-01
Guinea,1300.01,2026-04-01
Guinea Ecuatorial,1195.2,2026-04-01
Guinea-Bissáu,1108.38,2026-04-01
Guyana,1049.32,2026-04-01
Haití,1291.71,2026-04-01
Honduras,1380.27,2026-04-01
Hong Kong,1062.39,2022-12-22
"Hong Kong, China",1026.63,2026-04-01
Hungría,1500.58,2026-04-01
India,1091.03,2026-04-01
Indonesia,1144.88,2026-04-01
Inglaterra,1825.97,2026-04-01
Irak,1447.14,2026-04-01
Irlanda del Norte,1362.16,2026-04-01
Islandia,1345.07,2026-04-01
Islas Caimán,855.45,2026-04-01
Islas Cook,877.53,2026-04-01
Islas Feroe,1137.14,2026-04-01
Islas Salomón,1031.89,2026-04-01
Islas Vírgenes Británicas,782.14,2026-04-01
Islas Vírgenes Estadounidenses,779.76,2026-04-01
Israel,1328.33,2026-04-01
Italia,1700.37,2026-04-01
Jamaica,1358.0,2026-04-01
Japón,1660.43,2026-04-01
Jordania,1391.45,2026-04-01
Kazajstán,1182.96,2026-04-01
Kenia,1182.23,2026-04-01
Kosovo,1318.83,2026-04-01
Kuwait,1105.1,2026-04-01
Laos,885.03,2026-04-01
Lesoto,1067.13,2026-04-01
Letonia,1090.57,2026-04-01
Liberia,1079.02,2026-04-01
Libia,1182.08,2026-04-01
Liechtenstein,803.57,2026-04-01
Lituania,1058.42,2026-04-01
Luxemburgo,1227.77,2026-04-01
Líbano,1187.96,2026-04-01
Macao,858.03,2026-04-01
Macedonia del Norte,1372.04,2026-04-01
Madagascar,1203.76,2026-04-01
Malasia,1086.22,2026-04-01
Malaui,1128.03,2026-04-01
Maldivas,954.93,2026-04-01
Mali,1459.13,2026-04-01
Malta,987.73,2026-04-01
Marruecos,1755.87,2026-04-01
Mauricio,911.49,2026-04-01
Mauritania,1170.72,2026-04-01
Moldavia,1004.16,2026-04-01
Mongolia,879.75,2026-04-01
Montenegro,1295.52,2026-04-01
Montserrat,916.75,2026-04-01
Mozambique,1224.31,2026-04-01
Myanmar,1011.88,2026-04-01
México,1681.03,2026-04-01
Namibia,1148.84,2026-04-01
Nepal,914.54,2026-04-01
Nicaragua,1115.13,2026-04-01
Nigeria,1585.09,2026-04-01
Noruega,1550.94,2026-04-01
Nueva Caledonia,1036.95,2026-04-01
Nueva Zelanda,1281.57,2026-04-01
Níger,1179.66,2026-04-01
Omán,1313.46,2026-04-01
Pakistán,824.6,2026-04-01
Palestina,1244.73,2026-04-01
Panamá,1540.64,2026-04-01
Papúa Nueva Guinea,974.9,2026-04-01
Paraguay,1503.5,2026-04-01
Países Bajos,1757.87,2026-04-01
Perú,1455.87,2026-04-01
Polonia,1528.0,2026-04-01
Portugal,1763.83,2026-04-01
Puerto Rico,1026.11,2026-04-01
Qatar,1454.96,2026-04-01
RD del Congo,1478.35,2026-04-01
RDP de Corea,1151.05,2026-04-01
RI de Irán,1615.3,2026-04-01
RP China,1251.6,2026-04-01
República Centroafricana,1083.57,2026-04-01
República Checa,1501.38,2026-04-01
República Dominicana,1077.95,2026-04-01
República Kirguisa,1191.14,2026-04-01
República de Corea,1588.66,2026-04-01
República de Irlanda,1436.63,2026-04-01
Ruanda,1126.62,2026-04-01
Rumanía,1451.16,2026-04-01
Rusia,1525.6,2026-04-01
Samoa,876.41,2026-04-01
Samoa Estadounidense,871.61,2026-04-01
San Cristóbal y Nieves,1036.33,2026-04-01
San Marino,726.33,2026-04-01
San Vicente y las Granadinas,968.27,2026-04-01
Santa Lucía,976.71,2026-04-01
Santo Tomé y Príncipe,855.44,2026-04-01
Senegal,1688.99,2026-04-01
Serbia,1508.65,2026-04-01
Seychelles,804.16,2026-04-01
Sierra Leona,1148.98,2026-04-01
Singapur,1059.53,2026-04-01
Siria,1288.56,2026-04-01
Somalia,839.17,2026-04-01
Sri Lanka,871.82,2026-04-01
Suazilandia,1078.0,2018-12-20
Sudáfrica,1429.73,2026-04-01
Sudán,1157.22,2026-04-01
Sudán del Sur,970.94,2026-04-01
Suecia,1514.77,2026-04-01
Suiza,1649.4,2026-04-01
Surinam,1132.43,2026-04-01
Tahití,1019.04,2026-04-01
Tailandia,1252.14,2026-04-01
Tanzania,1180.27,2026-04-01
Tayikistán,1221.78,2026-04-01
Timor Oriental,825.64,2026-04-01
Togo,1147.31,2026-04-01
Tonga,835.64,2026-04-01
Trinidad y Tobago,1222.94,2026-04-01
Turcas y Caicos,803.98,2026-04-01
Turkmenistán,1078.65,2026-04-01
Turquía,1599.04,2026-04-01
Túnez,1483.05,2026-04-01
Ucrania,1546.88,2026-04-01
Uganda,1264.09,2026-04-01
Uruguay,1673.07,2026-04-01
Uzbekistán,1465.34,2026-04-01
Vanuatu,997.01,2026-04-01
Venezuela,1468.05,2026-04-01
Vietnam,1225.68,2026-04-01
Yemen,1049.49,2026-04-01
Yibuti,853.58,2026-04-01
Zambia,1255.82,2026-04-01
Zimbabue,1118.12,2026-04-01
