Equipo,Valor_Mercado_Millones_Eur
Francia,58.58
Inglaterra,52.24
España,47.03
Portugal,38.67
Alemania,36.42
Brasil,35.7
Argentina,31.06
Países Bajos,29.01
Noruega,22.69
Bélgica,21.06
Costa de Marfil,20.08
Senegal,18.39
Turquía,18.22
Marruecos,17.22
Suecia,15.62
Croacia,14.9
Estados Unidos,14.83
Ecuador,14.18
Uruguay,13.82
Suiza,12.79
Colombia,11.63
Japón,10.42
Argelia,9.88
Austria,9.43
Ghana,9.01
Canadá,7.64
México,7.38
Chequia,7.24
Escocia,6.55
Paraguay,5.91
Bosnia-Herzegovina,5.63
República Democrática del Congo,5.53
Corea del Sur,5.35
Egipto,4.48
Uzbekistán,3.27
Australia,2.98
Túnez,2.69
Haití,2.15
Cabo Verde,2.1
Sudáfrica,1.89
Arabia Saudita,1.56
Panamá,1.33
Nueva Zelanda,1.32
Irán,1.23
Curazao,0.991
Irak,0.815
Jordania,0.781
Catar,0.766
Dinamarca,15.87
Italia,13.87
Grecia,11.02
Georgia,9.65
Ucrania,9.88
Rusia,7.35
Polonia,8.93
Serbia,7.76
Hungría,7.21
Camerún,8.28
Gales,6.69
Nigeria,7.48
Kosovo,5.46
Irlanda,5.44
Malí,4.32
Burkina Faso,4.42
Eslovenia,4.02
Islandia,3.71
Albania,3.42
Irlanda del Norte,3.47
Venezuela,2.93
Gambia,3.42
Guinea,2.47
Montenegro,2.48
Israel,2.96
Chile,2.67
Eslovaquia,2.3
Rumanía,2.37
Angola,1.72
Armenia,1.56
Finlandia,1.55
Guinea-Bisáu,1.64
Surinam,1.38
Gabón,1.01
Macedonia del Norte,1.38
Perú,1.28
Bulgaria,1.2
Emiratos Árabes Unidos,1.21
Costa Rica,1.34
Togo,1.11
Mauritania,1.01
Zimbabue,1.21
Azerbaiyán,0.803
Honduras,0.824
Comoras,0.667
Chipre,0.737
Indonesia,0.85
Benín,0.732
Bolivia,0.669
Kazajistán,0.652
Lituania,0.703
Bielorrusia,0.641
Malta,0.556
Luxemburgo,0.636
China,0.551
Liberia,0.551
Zambia,0.614
Estonia,0.515
Guadalupe,0.548
Sierra Leona,0.559
República Dominicana,0.513
Burundi,0.377
Níger,0.428
Palestina,0.344
Libia,0.533
Moldavia,0.373
Letonia,0.375
Tanzania,0.365
Jamaica,0.377
Uganda,0.3
Chad,0.356
República Centroafricana,0.336
Omán,0.297
Tayikistán,0.344
Siria,0.317
Guatemala,0.338
Malasia,0.271
Vietnam,0.256
Bangladés,0.315
Ruanda,0.237
Kirguistán,0.271
Corea del Norte,0.236
Madagascar,0.283
Tailandia,0.273
Baréin,0.256
Líbano,0.241
Nueva Caledonia,0.208
Islas Feroe,0.222
El Salvador,0.207
Singapur,0.163
Eritrea,0.182
Kuwait,0.184
Guinea Ecuatorial,0.191
India,0.182
Nicaragua,0.172
Martinica,0.18
Andorra,0.137
Pakistán,0.149
Hong Kong,0.153
Filipinas,0.151
Sudán,0.121
Kenia,0.135
Botsuana,0.117
Myanmar,0.125
Turkmenistán,0.134
Etiopía,0.126
Cuba,0.108
República del Congo,0.112
Camboya,0.099
Fiyi,0.093
Yemen,0.096
Trinidad y Tobago,0.1
Namibia,0.09
China Taipéi,0.087
Malaui,0.075
Gibraltar,0.073
Granada,0.042
Sudán del Sur,0.065
Santo Tomé y Príncipe,0.066
Guyana,0.06
Mozambique,0.059
Nepal,0.059
Laos,0.057
San Marino,0.048
Afganistán,0.047
Esuatini,0.045
Seychelles,0.045
Sri Lanka,0.037
Bután,0.037
Puerto Rico,0.038
Brunéi Darussalam,0.035
Mauricio,0.035
Timor Oriental,0.033
Somalia,0.04
Maldivas,0.031
Antigua y Barbuda,0.028
Liechtenstein,0.026
Lesoto,0.025
Yibuti,0.029
San Cristóbal y Nieves,0.025
Vanuatu,0.022
Mongolia,0.024
San Vicente y las Granadinas,0.014
Islas Salomón,0.02
Sint Maarten,0.02
Bonaire,0.017
Macao,0.016
Bermudas,0.013
Montserrat,0.02
Belice,0.015
Santa Lucía,0.013
Guam,0.01
Samoa,0.01
Barbados,0.008
Aruba,0.007
Islas Vírgenes de los Estados Unidos,0.005
Guayana Francesa,0.005
Islas Cook,0.006
Tahití,0.003
Islas Turcas y Caicos,0.003
Papúa Nueva Guinea,0.0
Bahamas,0.0
Dominica,0.0
Tonga,0.0
Samoa Americana,0.0
Anguila,0.0
Islas Vírgenes Británicas,0.0
Islas Caimán,0.0
Kiribati,0.0
