Equipo,Valor_Mercado_Millones_Eur
Francia,58.58
Inglaterra,52.24
España,47.03
Portugal,38.67
Alemania,36.42
Brasil,35.7
Argentina,31.06
Países Bajos,29.01
Noruega,22.69
Bélgica,21.06
Costa de Marfil,20.08
Senegal,18.39
Turquía,18.22
Marruecos,17.22
Dinamarca,15.87
Suecia,15.62
Croacia,14.9
EEUU,14.83
Ecuador,14.18
Italia,13.87
Uruguay,13.82
Suiza,12.79
Colombia,11.63
Grecia,11.02
Japón,10.42
Argelia,9.88
Ucrania,9.88
Georgia,9.65
Austria,9.43
Ghana,9.01
Polonia,8.93
Camerún,8.28
Serbia,7.76
Canadá,7.64
Nigeria,7.48
México,7.38
Rusia,7.35
República Checa,7.24
Hungría,7.21
Gales,6.69
Escocia,6.55
Paraguay,5.91
Bosnia-Herzegovina,5.63
República Democrática del Congo,5.53
Kosovo,5.46
Irlanda,5.44
República de Corea,5.35
Egipto,4.48
Burkina Faso,4.42
Malí,4.32
Eslovenia,4.02
Islandia,3.71
Irlanda del Norte,3.47
Gambia,3.42
Albania,3.42
Uzbekistán,3.27
Australia,2.98
Israel,2.96
Venezuela,2.93
Túnez,2.69
Chile,2.67
Montenegro,2.48
Guinea,2.47
Rumanía,2.37
Eslovaquia,2.3
Haití,2.15
Cabo Verde,2.1
Sudáfrica,1.89
Angola,1.72
Guinea-Bisáu,1.64
Armenia,1.56
Arabia Saudí,1.56
Finlandia,1.55
Macedonia del Norte,1.38
Surinam,1.38
Costa Rica,1.34
Panamá,1.33
Nueva Zelanda,1.32
Perú,1.28
Irán,1.23
Emiratos Árabes Unidos,1.21
Zimbabue,1.21
Bulgaria,1.2
Togo,1.11
Gabón,1.01
Mauritania,1.01
Curazao,0.991
Indonesia,0.85
Honduras,0.824
Irak,0.815
Azerbaiyán,0.803
Jordania,0.781
Catar,0.766
Chipre,0.737
Benín,0.732
Lituania,0.703
Bolivia,0.669
Comoras,0.667
Kazajistán,0.652
Bielorrusia,0.641
Luxemburgo,0.636
Zambia,0.614
Sierra Leona,0.559
Malta,0.556
China,0.551
Liberia,0.551
Guadalupe,0.548
Libia,0.533
Estonia,0.515
República Dominicana,0.513
Níger,0.428
Burundi,0.377
Jamaica,0.377
Letonia,0.375
Moldavia,0.373
Tanzania,0.365
Chad,0.356
Palestina,0.344
Tayikistán,0.344
Guatemala,0.338
República Centroafricana,0.336
Siria,0.317
Bangladés,0.315
Uganda,0.3
Omán,0.297
Madagascar,0.283
Tailandia,0.273
Malasia,0.271
Kirguistán,0.271
Baréin,0.256
Vietnam,0.256
Líbano,0.241
Ruanda,0.237
Corea del Norte,0.236
Islas Feroe,0.222
Nueva Caledonia,0.208
El Salvador,0.207
Guinea Ecuatorial,0.191
Kuwait,0.184
Eritrea,0.182
India,0.182
Martinica,0.18
Nicaragua,0.172
Singapur,0.163
Hong Kong,0.153
Filipinas,0.151
Pakistán,0.149
Andorra,0.137
Kenia,0.135
Turkmenistán,0.134
Etiopía,0.126
Myanmar,0.125
Sudán,0.121
Botsuana,0.117
República del Congo,0.112
Cuba,0.108
Trinidad y Tobago,0.1
Camboya,0.099
Yemen,0.096
Fiyi,0.093
Namibia,0.09
China Taipéi,0.087
Malaui,0.075
Gibraltar,0.073
Santo Tomé y Príncipe,0.066
Sudán del Sur,0.065
Guyana,0.06
Mozambique,0.059
Nepal,0.059
Laos,0.057
San Marino,0.048
Afganistán,0.047
Esuatini,0.045
Seychelles,0.045
Granada,0.042
Somalia,0.04
Puerto Rico,0.038
Bután,0.037
Sri Lanka,0.037
Mauricio,0.035
Brunéi Darussalam,0.035
Timor Oriental,0.033
Maldivas,0.031
Yibuti,0.029
Antigua y Barbuda,0.028
Liechtenstein,0.026
Lesoto,0.025
San Cristóbal y Nieves,0.025
Mongolia,0.024
Vanuatu,0.022
Islas Salomón,0.02
Sint Maarten,0.02
Montserrat,0.02
Bonaire,0.017
Macao,0.016
Belice,0.015
San Vicente y las Granadinas,0.014
Bermudas,0.013
Santa Lucía,0.013
Guam,0.01
Samoa,0.01
Barbados,0.008
Aruba,0.007
Islas Cook,0.006
Islas Vírgenes de los Estados Unidos,0.005
Guayana Francesa,0.005
Tahití,0.003
Islas Turcas y Caicos,0.003
Papúa Nueva Guinea,0.0
Bahamas,0.0
Dominica,0.0
Tonga,0.0
Samoa Americana,0.0
Anguila,0.0
Islas Vírgenes Británicas,0.0
Islas Caimán,0.0
Kiribati,0.0
